date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:49	53534/53534	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:16%20GMT	https://b2c.kiwi/detail/722	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/722.html	(from https://b2c.kiwi/)
23:57:50	769354/769354	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:16%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_12_33_38_WeChat%20Image_20190110123315.png&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_12_33_38_WeChat%20Image_20190110123315c713.png	(from https://b2c.kiwi/)
23:57:51	52283/52283	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:17%20GMT	https://b2c.kiwi/detail/720	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/720.html	(from https://b2c.kiwi/)
23:57:51	240667/240667	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:17%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_09_17_10_36_%c2%a6%c2%a6%c2%a5%c2%a67%c2%a6%c2%af%c2%a6%c3%be%c2%a9-.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_09_17_10_36_%a6%a6%a5%a67%a6%af%a6%fe%a9-34d4.jpg	(from https://b2c.kiwi/)
23:57:52	52608/52608	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:18%20GMT	https://b2c.kiwi/detail/719	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/719.html	(from https://b2c.kiwi/)
23:57:52	747118/747118	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:18%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_12_36_52_WeChat%20Image_20190110123603.png&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_12_36_52_WeChat%20Image_201901101236036db4.png	(from https://b2c.kiwi/)
23:57:53	52487/52487	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:19%20GMT	https://b2c.kiwi/detail/743	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/743.html	(from https://b2c.kiwi/)
23:57:53	467/467	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Sep%202021%2011:56:19%20GMT	https://b2c.kiwi/detail/743}	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/743}.3b.delayed	(from https://b2c.kiwi/)
23:57:54	5244695/5244695	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:19%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_04_04_16_50_11_DSC_5731.JPG&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_04_04_16_50_11_DSC_5731e15c.JPG	(from https://b2c.kiwi/)
23:57:54	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:56:21%20GMT	https://b2c.kiwi/743	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/743.3c.delayed	(from https://b2c.kiwi/)
23:57:55	51056/51056	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:21%20GMT	https://b2c.kiwi/detail/734	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/734.html	(from https://b2c.kiwi/)
23:57:56	123472/123472	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:22%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_14_13_15_53_adv%201.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_14_13_15_53_adv%2014a82.jpg	(from https://b2c.kiwi/)
23:57:56	51959/51959	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:23%20GMT	https://b2c.kiwi/detail/733	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/733.html	(from https://b2c.kiwi/)
23:57:57	74025/74025	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:23%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_14_13_00_52_adv%203.png&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_14_13_00_52_adv%2036597.png	(from https://b2c.kiwi/)
